,year,region,driving_liceses,geo_point_2d_licenses,x_licenses,y_licenses,geo_point_2d_accidents,x_accidents,y_accidents,No. of Accidents,No. of Casualties - Dead,No. of Casualties - Injured
0,2012.0,Makkah,143954.0,"21.628962766, 41.2636898334",21.628962766,41.2636898334,0,0.0,0.0,0.0,0.0,0.0
1,1994.0,Makkah,75349.0,"21.628962766, 41.2636898334",21.628962766,41.2636898334,0,0.0,0.0,0.0,0.0,0.0
2,1998.0,Makkah,86082.0,"21.628962766, 41.2636898334",21.628962766,41.2636898334,0,0.0,0.0,0.0,0.0,0.0
3,2004.0,Makkah,86636.0,"21.628962766, 41.2636898334",21.628962766,41.2636898334,0,0.0,0.0,0.0,0.0,0.0
4,2005.0,Makkah,65099.0,"21.628962766, 41.2636898334",21.628962766,41.2636898334,0,0.0,0.0,0.0,0.0,0.0
5,2008.0,Makkah,77013.0,"21.628962766, 41.2636898334",21.628962766,41.2636898334,0,0.0,0.0,0.0,0.0,0.0
6,2014.0,Madinah,31447.0,"24.927534539, 39.4918237173",24.927534539,39.4918237173,0,0.0,0.0,0.0,0.0,0.0
7,2013.0,Madinah,28513.0,"24.927534539, 39.4918237173",24.927534539,39.4918237173,0,0.0,0.0,0.0,0.0,0.0
8,2012.0,Madinah,14459.0,"24.927534539, 39.4918237173",24.927534539,39.4918237173,0,0.0,0.0,0.0,0.0,0.0
9,1994.0,Madinah,3767.0,"24.927534539, 39.4918237173",24.927534539,39.4918237173,0,0.0,0.0,0.0,0.0,0.0
10,1998.0,Madinah,13020.0,"24.927534539, 39.4918237173",24.927534539,39.4918237173,0,0.0,0.0,0.0,0.0,0.0
11,2000.0,Madinah,9562.0,"24.927534539, 39.4918237173",24.927534539,39.4918237173,0,0.0,0.0,0.0,0.0,0.0
12,2007.0,Madinah,12174.0,"24.927534539, 39.4918237173",24.927534539,39.4918237173,0,0.0,0.0,0.0,0.0,0.0
13,2004.0,Madinah,10556.0,"24.927534539, 39.4918237173",24.927534539,39.4918237173,0,0.0,0.0,0.0,0.0,0.0
14,1995.0,Al-Qaseem,49690.0,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,0,0.0,0.0,0.0,0.0,0.0
15,1996.0,Al-Qaseem,42693.0,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,0,0.0,0.0,0.0,0.0,0.0
16,2015.0,Eastern,135752.0,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,0,0.0,0.0,0.0,0.0,0.0
17,2015.0,Assir,38567.0,"19.1387847401, 42.941470036",19.1387847401,42.941470036,0,0.0,0.0,0.0,0.0,0.0
18,1995.0,Assir,4889.0,"19.1387847401, 42.941470036",19.1387847401,42.941470036,0,0.0,0.0,0.0,0.0,0.0
19,1996.0,Assir,3319.0,"19.1387847401, 42.941470036",19.1387847401,42.941470036,0,0.0,0.0,0.0,0.0,0.0
20,1998.0,Assir,13220.0,"19.1387847401, 42.941470036",19.1387847401,42.941470036,0,0.0,0.0,0.0,0.0,0.0
21,2010.0,Tabouk,10345.0,"27.90165499, 37.2598581394",27.90165499,37.2598581394,0,0.0,0.0,0.0,0.0,0.0
22,2013.0,Tabouk,12848.0,"27.90165499, 37.2598581394",27.90165499,37.2598581394,0,0.0,0.0,0.0,0.0,0.0
23,1996.0,Tabouk,2263.0,"27.90165499, 37.2598581394",27.90165499,37.2598581394,0,0.0,0.0,0.0,0.0,0.0
24,1998.0,Tabouk,6823.0,"27.90165499, 37.2598581394",27.90165499,37.2598581394,0,0.0,0.0,0.0,0.0,0.0
25,2001.0,Tabouk,6344.0,"27.90165499, 37.2598581394",27.90165499,37.2598581394,0,0.0,0.0,0.0,0.0,0.0
26,2007.0,Tabouk,11045.0,"27.90165499, 37.2598581394",27.90165499,37.2598581394,0,0.0,0.0,0.0,0.0,0.0
27,2017.0,Hail,22035.0,"27.400845724, 41.4406960508",27.400845724,41.4406960508,"27.400845724, 41.4406960508",27.400845724,41.4406960508,9379.0,265.0,773.0
28,2007.0,Hail,4021.0,"27.400845724, 41.4406960508",27.400845724,41.4406960508,0,0.0,0.0,0.0,0.0,0.0
29,2004.0,Hail,8656.0,"27.400845724, 41.4406960508",27.400845724,41.4406960508,0,0.0,0.0,0.0,0.0,0.0
30,2005.0,Hail,16247.0,"27.400845724, 41.4406960508",27.400845724,41.4406960508,0,0.0,0.0,0.0,0.0,0.0
31,2009.0,Hail,7282.0,"27.400845724, 41.4406960508",27.400845724,41.4406960508,0,0.0,0.0,0.0,0.0,0.0
